datetime,ask,bid
2012-02-07 09:30:00,20.700000000000006,20.6
2012-02-07 09:31:00,20.3,20.200000000000006
2012-02-07 09:32:00,20.1,20.0
2012-02-07 09:33:00,19.6,19.5
2012-02-07 09:34:00,19.8,19.700000000000006
2012-02-07 09:35:00,20.1,20.0
2012-02-07 09:36:00,20.200000000000006,20.1
2012-02-07 09:37:00,19.3,19.200000000000006
2012-02-07 09:38:00,19.5,19.4
2012-02-07 09:39:00,19.9,19.8
2012-02-07 09:40:00,20.4,20.3
2012-02-07 09:41:00,20.3,20.200000000000006
2012-02-07 09:42:00,20.0,19.9
2012-02-07 09:43:00,20.4,20.3
2012-02-07 09:44:00,19.8,19.700000000000006
2012-02-07 09:45:00,20.1,20.0
2012-02-07 09:46:00,20.8,20.700000000000006
2012-02-07 09:47:00,20.5,20.4
2012-02-07 09:48:00,20.1,20.0
2012-02-07 09:49:00,20.0,19.9
2012-02-07 09:50:00,19.6,19.5
2012-02-07 09:51:00,18.7,18.6
2012-02-07 09:52:00,18.1,18.0
2012-02-07 09:53:00,18.9,18.8
2012-02-07 09:54:00,19.0,18.9
2012-02-07 09:55:00,19.3,19.200000000000006
2012-02-07 09:56:00,19.4,19.3
2012-02-07 09:57:00,19.700000000000006,19.6
2012-02-07 09:58:00,20.5,20.4
2012-02-07 09:59:00,20.3,20.200000000000006
2012-02-07 10:00:00,20.0,19.9
2012-02-07 10:01:00,19.5,19.4
2012-02-07 10:02:00,19.700000000000006,19.6
2012-02-07 10:03:00,19.4,19.3
2012-02-07 10:04:00,19.3,19.200000000000006
2012-02-07 10:05:00,19.0,18.9
2012-02-07 10:06:00,19.5,19.4
2012-02-07 10:07:00,19.3,19.200000000000006
2012-02-07 10:08:00,19.200000000000006,19.1
2012-02-07 10:09:00,18.4,18.3
2012-02-07 10:10:00,18.6,18.5
2012-02-07 10:11:00,18.8,18.7
2012-02-07 10:12:00,18.6,18.5
2012-02-07 10:13:00,18.4,18.3
2012-02-07 10:14:00,18.4,18.3
2012-02-07 10:15:00,18.0,17.900000000000006
2012-02-07 10:16:00,17.7,17.6
2012-02-07 10:17:00,17.6,17.5
2012-02-07 10:18:00,17.3,17.2
2012-02-07 10:19:00,17.900000000000006,17.8
2012-02-07 10:20:00,16.6,16.5
2012-02-07 10:21:00,16.7,16.6
2012-02-07 10:22:00,16.8,16.7
2012-02-07 10:23:00,16.8,16.7
2012-02-07 10:24:00,16.900000000000002,16.8
2012-02-07 10:25:00,16.8,16.7
2012-02-07 10:26:00,17.2,17.1
2012-02-07 10:27:00,17.5,17.400000000000002
2012-02-07 10:28:00,18.0,17.900000000000006
2012-02-07 10:29:00,17.5,17.400000000000002
2012-02-07 10:30:00,17.0,16.900000000000002
2012-02-07 10:31:00,17.2,17.1
2012-02-07 10:32:00,17.1,17.0
2012-02-07 10:33:00,17.5,17.400000000000002
2012-02-07 10:34:00,17.6,17.5
2012-02-07 10:35:00,17.400000000000002,17.3
2012-02-07 10:36:00,17.1,17.0
2012-02-07 10:37:00,17.0,16.900000000000002
2012-02-07 10:38:00,17.0,16.900000000000002
2012-02-07 10:39:00,17.2,17.1
2012-02-07 10:40:00,16.8,16.7
2012-02-07 10:41:00,16.5,16.400000000000002
2012-02-07 10:42:00,16.5,16.400000000000002
2012-02-07 10:43:00,16.1,16.0
2012-02-07 10:44:00,15.7,15.6
2012-02-07 10:45:00,15.6,15.5
2012-02-07 10:46:00,15.2,15.1
2012-02-07 10:47:00,15.0,14.9
2012-02-07 10:48:00,15.4,15.3
2012-02-07 10:49:00,15.6,15.5
2012-02-07 10:50:00,15.4,15.3
2012-02-07 10:51:00,15.6,15.5
2012-02-07 10:52:00,15.3,15.2
2012-02-07 10:53:00,15.9,15.8
2012-02-07 10:54:00,16.2,16.1
2012-02-07 10:55:00,16.400000000000002,16.3
2012-02-07 10:56:00,16.3,16.2
2012-02-07 10:57:00,15.7,15.6
2012-02-07 10:58:00,15.9,15.8
2012-02-07 10:59:00,15.4,15.3
2012-02-07 11:00:00,14.9,14.8
2012-02-07 11:01:00,14.7,14.6
2012-02-07 11:02:00,14.3,14.2
2012-02-07 11:03:00,13.8,13.7
2012-02-07 11:04:00,13.7,13.6
2012-02-07 11:05:00,13.3,13.2
2012-02-07 11:06:00,13.3,13.2
2012-02-07 11:07:00,13.8,13.7
2012-02-07 11:08:00,13.1,13.0
2012-02-07 11:09:00,13.1,13.0
2012-02-07 11:10:00,12.6,12.5
2012-02-07 11:11:00,12.4,12.3
2012-02-07 11:12:00,12.3,12.2
2012-02-07 11:13:00,11.9,11.8
2012-02-07 11:14:00,11.7,11.6
2012-02-07 11:15:00,11.8,11.7
2012-02-07 11:16:00,12.2,12.1
2012-02-07 11:17:00,12.1,12.0
2012-02-07 11:18:00,12.5,12.4
2012-02-07 11:19:00,12.9,12.8
2012-02-07 11:20:00,13.0,12.9
2012-02-07 11:21:00,13.2,13.1
2012-02-07 11:22:00,13.0,12.9
2012-02-07 11:23:00,12.9,12.8
2012-02-07 11:24:00,13.0,12.9
2012-02-07 11:25:00,13.2,13.1
2012-02-07 11:26:00,12.9,12.8
2012-02-07 11:27:00,12.9,12.8
2012-02-07 11:28:00,12.9,12.8
2012-02-07 11:29:00,13.1,13.0
2012-02-07 11:30:00,12.5,12.4
2012-02-07 11:31:00,12.3,12.2
2012-02-07 11:32:00,11.9,11.8
2012-02-07 11:33:00,12.2,12.1
2012-02-07 11:34:00,12.3,12.2
2012-02-07 11:35:00,12.2,12.1
2012-02-07 11:36:00,12.5,12.4
2012-02-07 11:37:00,12.7,12.6
2012-02-07 11:38:00,13.1,13.0
2012-02-07 11:39:00,12.8,12.7
2012-02-07 11:40:00,12.6,12.5
2012-02-07 11:41:00,12.8,12.7
2012-02-07 11:42:00,13.5,13.4
2012-02-07 11:43:00,13.9,13.8
2012-02-07 11:44:00,14.0,13.9
2012-02-07 11:45:00,13.8,13.7
2012-02-07 11:46:00,14.0,13.9
2012-02-07 11:47:00,14.0,13.9
2012-02-07 11:48:00,14.2,14.1
2012-02-07 11:49:00,13.9,13.8
2012-02-07 11:50:00,13.9,13.8
2012-02-07 11:51:00,13.6,13.5
2012-02-07 11:52:00,13.7,13.6
2012-02-07 11:53:00,13.4,13.3
2012-02-07 11:54:00,13.4,13.3
2012-02-07 11:55:00,13.3,13.2
